Type,Source,Text
Double-Number Parse,EJ12,44. PARSE ERROR
Excessive heading,EJ34,"31. Virginia has adopted several categories for use in its biennial list of impaired waters. “Category 5” denotes those waters that Virginia has identified as impaired under 33 U.S.C. § 1313(d)(1)(A), and therefore identification of waters in Category 5 prompts the State’s duty under that subsection of the Act to develop total maximum daily loads to address the impairment. The identification of waters under Virginia’s other listing categories does not constitute an identification under 33 U.S.C. § 1313(d)(1)(A) and does not trigger the State’s duty to complete total maximum daily loads. 2014 Integrated Report at i, 2-4. Virginia’s History Of Refusal To Apply Its Narrative Criteria And Designated Uses To Address Excessive Algae"
Excessive heading,EJ34,"43. Shortly thereafter, EPA approved DEQ’s decision not to identify the Shenandoah River as impaired. EPA justified its approval by claiming that “[t]he existing and readily available information does not provide EPA with a basis for determining spatial and temporal extent of impairment, including which portions of the River suffer from the effects of long-term substantial algal growth and which do not.” Letter from EPA to Melanie Davenport, Virginia DEQ at 6 (Sept. 23, 2014). Contrary to EPA’s claim, Virginia’s water quality standards do not specify a particular spatial or temporal threshold for identifying a water as impaired by excess algae. DEQ’s 2014 Integrated Report And EPA’s Approval"
Excessive heading,EJ34,"59. For all the foregoing reasons, EPA’s approval of Virginia’s 303(d) list was “arbitrary, capricious, an abuse of discretion, or otherwise not in accordance with law” and is “in excess of statutory jurisdiction, authority, or limitations, or short of statutory right” within the meaning of the Administrative Procedure Act, 5 U.S.C. § 706(2)(A), (C). WHEREFORE, Plaintiffs respectfully request that the Court:"
Excessive heading,EPA34,"31. The allegations in Paragraph 31 characterize Virginia’s 2014 Integrated Report, which document speaks for itself and is the best evidence of its contents. To the extent the allegations in Paragraph 31 are inconsistent with that document, Defendants deny them. Virginia’s History of Refusal To Apply Its Narrative Criteria And Designated Uses To Address Excessive Algae1"
Excessive heading,EPA34,"43. The allegations in the first and second sentences of Paragraph 43 characterize a document identified in Paragraph 43, which document speaks for itself and is the best evidence of its contents. To the extent the allegations are inconsistent with that document, Defendants deny them. The allegations in the third sentence of Paragraph 43 characterize Virginia’s water quality standards, which speak for themselves and are the best evidence of their contents. To the extent those allegations are inconsistent with Virginia’s water quality standards, Defendants deny them. DEQ’s 2014 Integrated Report And EPA’s Approval"
Excessive heading,EJ12,"99. In withholding this information, EPA significantly impairs the public’s ability to understand the potential dangers posed by new chemicals undergoing EPA review.1. EPA hides information from health and safety studies, including safety data sheets"
Excessive heading,EJ12,"110. But without the health and safety information that is submitted with the PMN, the public is left in the dark, with little-to-no ability to comment on the application before EPA makes a determination, to understand the basis for EPA’s decision, or to assess its validity.2. EPA also hides other information relevant to the potential risks presented by new chemicals"
Excessive heading,EPA12,"9. The allegations in the first three sentences of paragraph 9 characterize the complaint, which speaks for itself and is the best evidence of its content. To the extent the allegations are inconsistent with the complaint, EPA denies them. The remaining allegations consist of vague and ambiguous characterizations and expressions of opinion, and EPA lacks sufficient information to admit or deny them. Jurisdiction and venue"
Excessive heading,EPA12,"12. In response to paragraph 12, EPA admits that it resides in the District of Columbia. The remaining allegations in this paragraph state legal conclusions that require no response. Parties"
